                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.84565,                0.46486,                 1.1212,                0.97002,                 0.9784,                0.98398,                0.72845,                 1.0231,                0.40134,                 1.3145,             8.5422e-05,             8.5422e-05,             8.5422e-05
                     78,                0.85583,                0.47087,                 1.1276,                0.96621,                0.97935,                0.98499,                0.72957,                 1.0249,                0.40339,                  1.316,             8.2006e-05,             8.2006e-05,             8.2006e-05
                     79,                0.84616,                0.46001,                  1.122,                0.96837,                0.97857,                0.98502,                0.73022,                 1.0292,                0.40446,                 1.3208,             7.8591e-05,             7.8591e-05,             7.8591e-05
                     80,                0.84914,                0.47039,                 1.1268,                0.96938,                0.97604,                0.98471,                0.73013,                 1.0319,                0.40224,                 1.3202,             7.5175e-05,             7.5175e-05,             7.5175e-05
                     81,                0.83471,                0.45845,                 1.1182,                0.96688,                0.97455,                0.98502,                0.72874,                 1.0274,                0.40793,                 1.3185,              7.176e-05,              7.176e-05,              7.176e-05
                     82,                0.83571,                0.46102,                 1.1153,                0.96562,                0.97571,                0.98579,                0.72904,                 1.0274,                0.39757,                 1.3237,             6.8344e-05,             6.8344e-05,             6.8344e-05
                     83,                0.83595,                0.46313,                 1.1198,                0.96987,                0.97904,                0.98674,                0.73046,                 1.0287,                0.39635,                 1.3167,             6.4929e-05,             6.4929e-05,             6.4929e-05
                     84,                0.83487,                0.45415,                 1.1202,                0.96635,                0.97696,                0.98667,                0.73035,                 1.0291,                0.39436,                 1.3216,             6.1514e-05,             6.1514e-05,             6.1514e-05
                     85,                0.83168,                0.46007,                 1.1139,                 0.9637,                0.97367,                0.98566,                0.72881,                 1.0288,                0.40271,                 1.3219,             5.8098e-05,             5.8098e-05,             5.8098e-05
                     86,                0.82211,                0.45063,                 1.1103,                0.96789,                0.97595,                0.98601,                0.72952,                 1.0268,                0.39982,                 1.3206,             5.4683e-05,             5.4683e-05,             5.4683e-05
                     87,                0.81504,                 0.4461,                 1.1123,                0.96709,                0.97682,                 0.9859,                0.72914,                 1.0312,                0.39818,                 1.3203,             5.1267e-05,             5.1267e-05,             5.1267e-05
                     88,                0.80728,                0.44685,                 1.1061,                0.96703,                0.97729,                0.98555,                0.72937,                 1.0303,                0.40135,                 1.3218,             4.7852e-05,             4.7852e-05,             4.7852e-05
                     89,                0.82516,                0.44575,                 1.1172,                0.96833,                0.97636,                0.98529,                0.72479,                 1.0341,                0.40034,                 1.3294,             4.4436e-05,             4.4436e-05,             4.4436e-05
                     90,                0.81752,                0.44687,                 1.1098,                0.97733,                 0.9612,                0.98591,                  0.727,                 1.0346,                0.39941,                 1.3288,              4.102e-05,              4.102e-05,              4.102e-05
                     91,                0.73946,                0.32265,                 1.0972,                0.96517,                0.97936,                0.98564,                0.72744,                 1.0309,                 0.3948,                 1.3277,             3.7605e-05,             3.7605e-05,             3.7605e-05
                     92,                 0.7233,                0.31112,                 1.0922,                0.96604,                0.97614,                0.98508,                0.72609,                 1.0298,                0.39646,                 1.3292,             3.4189e-05,             3.4189e-05,             3.4189e-05
                     93,                0.71685,                0.30689,                 1.0843,                0.96688,                0.97249,                 0.9847,                0.72715,                 1.0275,                 0.3965,                 1.3295,             3.0774e-05,             3.0774e-05,             3.0774e-05
                     94,                0.70871,                0.30179,                 1.0805,                0.96717,                0.97384,                 0.9848,                0.72766,                 1.0328,                 0.3987,                 1.3348,             2.7358e-05,             2.7358e-05,             2.7358e-05
                     95,                0.70693,                0.30265,                 1.0785,                0.96224,                0.97765,                0.98516,                0.72849,                 1.0306,                0.39932,                 1.3318,             2.3943e-05,             2.3943e-05,             2.3943e-05
                     96,                0.70048,                0.29957,                 1.0723,                0.97088,                0.96749,                 0.9853,                0.72893,                 1.0325,                0.39856,                 1.3387,             2.0528e-05,             2.0528e-05,             2.0528e-05
                     97,                0.70289,                0.30219,                 1.0764,                0.96141,                0.97752,                0.98571,                0.72958,                 1.0317,                0.39421,                 1.3362,             1.7112e-05,             1.7112e-05,             1.7112e-05
                     98,                0.69528,                0.29792,                 1.0653,                0.96926,                0.97153,                0.98536,                 0.7284,                 1.0337,                0.39338,                 1.3414,             1.3697e-05,             1.3697e-05,             1.3697e-05
                     99,                0.69197,                0.29642,                 1.0744,                 0.9728,                 0.9677,                0.98529,                 0.7285,                  1.032,                 0.3937,                  1.342,             1.0281e-05,             1.0281e-05,             1.0281e-05
                    100,                0.68717,                0.29205,                 1.0726,                0.97344,                0.96459,                0.98578,                0.72965,                 1.0333,                0.39579,                 1.3432,             6.8655e-06,             6.8655e-06,             6.8655e-06
